Nr.,Best.-Nr.   ,RoHS-konform?,Ihre Bestellnummer,Hinweise,Menge,Hersteller-Teilenr.,Herstellername,Hersteller / Beschreibung,Verfügbarkeit,Stückpreis (&euro;),Positionspreis (&euro;),Rabattpreis (&euro;)
24,4227313,RoHS: YES / PHTHALATE: YES,,,5.0,"MCPKNPA1WJ0101A10",MULTICOMP PRO,"MULTICOMP PRO  Widerstand für Durchsteckmontage, 100 ohm, MCPKNPA Series, 1 W, ± 5%, Axial bedrahtet, 500 V",1888,0.2540,1.27,,
25,1357917,RoHS: YES / PHTHALATE: YES,,,5.0,"MOR03SJ0103A19",MULTICOMP PRO,"MULTICOMP PRO  METALLOXIDWIDERSTAND, 10K, 5%, 3W, AXIAL",3295,0.2780,1.39,,
26,9343318,RoHS: YES / PHTHALATE: YES,,,5.0,"MF12 5K1",MULTICOMP PRO,"MULTICOMP PRO  Widerstand für Durchsteckmontage, 5.1 kohm, MF12 Series, 125 mW, ± 1%, Axial bedrahtet, 200 V",4729,0.0614,0.31,,
27,3872794,RoHS: YES / PHTHALATE: YES,,,5.0,"ATTINY3226-SU",MICROCHIP,"MICROCHIP  8-Bit-MCU, tinyAVR 2 Family ATtiny3226 Series Microcontrollers, AVR, 20 MHz, 32 KB, 20 Pin(s)",423,1.2500,6.25,,
28,2628016,RoHS: YES / PHTHALATE: YES,,,5.0,"ULN2003ADR2G",ONSEMI,"ONSEMI  DARLINGTON-TRANSISTOR-ARRAY, SOIC-16",5532,1.0300,5.15,,
29,2677537,RoHS: YES / PHTHALATE: YES,,,5.0,"1.5KE400CA",TAIWAN SEMICONDUCTOR,"TAIWAN SEMICONDUCTOR  TVS-Diode, 1.5KE, Bidirektional, 342 V, 548 V, DO-201AE, 2 Pin(s)",187,0.7920,3.96,,

,,,,,,,Zwischensumme,&euro;279.32
,,,,,,,Warengesamtsumme,&euro;279.32
,,,,,,,Lieferung,&euro;0.00
,,,,,,,USt.,&euro;55.86
,,,,,,,Gesamt,&euro;335.18
